Organization;Account number;Country;City;C40;Reporting year;Accounting year;Primary protocol;Primary protocol comment;Total city-wide emissions;City location;Country location;Accounting year start;CDP Region;Reporting authority;Access;City-wide emissions inventory;Accounting year end;Duration;Administrative city boundary;Inventory boundary (compared to Administrative city boundary);Common Reporting Framework inventory format (GPC);Gases included;Scopes included;Scope 1 generation of grid supplied energy;Scope 1 excluding generation of grid supplied energy;Scope 2 generation of grid supplied energy;Scope 2 excluding generation of grid supplied energy;Scope 3 generation of grid supplied energy;Scope 3 excluding generation of grid supplied energy;Scope 1;Scope 2;Scope 3;TOTAL BASIC emissions (GPC);TOTAL BASIC+ emissions (GPC);Comment;Change in emissions;Primary reason for the change in emissions;Land area (in square km);Population;Population Year;Average altitude (m);Average annual temperature (in Celsius);City GDP;GDP currency;Year of GDP;GDP Source;Last update
City of Los Angeles;10894;United States of America;Los Angeles;;2020;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-118.244 34.0522);;2018-01-01;North America;;public;Yes;2018-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;1329146.0;18683071.0;;7636620.0;;27315349.0;;;;;;;Increased;Other, please specify: Expanded reporting from BASIC to BASIC+;1215.0;4021488.0;2018.0;;;;;;;2021-04-10T02:18:55.717
Town of Whitby, ON;840269;Canada;;;2020;2017-01-01 - 2017-12-31;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);The ICLEII protocol was used as the Town of Whitby implemented data into the Partners for Climate Protection reporting software, which also using the same protocol. For this reason, the Town chose to use ICLEI as its primary protocol of reporting for CDP.;;;;2017-01-01;North America;;public;Yes;2017-12-31;364 days;City / Municipality;Larger – covers the whole city and adjoining areas;;CH4, CO2, N20;;;;;;;;;;;;;;This is our first year of calculation;Other, please specify;146.53;136235.0;2018.0;;;;;;;2021-04-10T02:18:55.717
Odder Kommune;58796;Denmark;Odder;;2020;;;;;POINT (10.15 55.9757);;;Europe;;public;Not intending to undertake;;;City / Municipality;;;;;;;;;;;;;;;;;;;225.0;22624.0;2019.0;;;;;;;2021-04-10T02:18:55.717
Jakarta City Government;31166;Indonesia;Jakarta;;2020;2020-01-01 - 2020-12-31;2006 IPCC Guidelines for National Greenhouse Gas Inventories;1.	Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC): ICLEI (verification), SIGN-SMART (verification), CDP, WRI, Global Covenant of Mayors (GCoM).2.	2006 IPCC Guidelines for National Greenhouse Gas Inventories SIGN-SMART.3.	Regional or country specific methodology: AKSARA.;;POINT (106.865 -6.1751);;2020-01-01;Southeast Asia and Oceania;;public;Yes;2020-12-31;365 days;Special city;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;;;;;;;Increased;Improved data accuracy;662.33;10557810.0;2020.0;;;;;;;2021-04-10T02:18:55.717
Comune di Chieti;36282;Italy;Chieti;;2020;;;;;POINT (14.1399 42.3828);;;Europe;;public;Intending to undertake in the next 2 years;;;City / Municipality;;;;;;;;;;;;;;;;;;;59.57;52125.0;2018.0;;;;;;;2021-04-10T02:18:55.717
City of Delhi;31157;India;Delhi;;2020;2014-01-01 - 2015-01-01;2006 IPCC Guidelines for National Greenhouse Gas Inventories;;;POINT (77.1025 28.704);;2014-01-01;South and West Asia;;public;In progress;2015-01-01;365 days;Sovereign city-state;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20;;;;;;;;;;;;;;;;1484.0;11034555.0;2011.0;;;;;;;2021-04-10T02:18:55.717
Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS);826211;Mexico;;;2020;2021-04-01 - 2022-04-01;2006 IPCC Guidelines for National Greenhouse Gas Inventories;;;;;2021-04-01;Latin America;;public;Yes;2022-04-01;365 days;Other, please specify: Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS);Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;;;;;;;This is our first year of calculation;;6612.0;399724000.0;2015.0;;;;;;;2021-04-10T02:18:55.717
Distrito Metropolitano de Quito;42178;Ecuador;Quito;;2020;2019-01-01 - 2019-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-78.5167 -0.2333);;2019-01-01;Latin America;;public;Yes;2019-12-31;364 days;Metropolitan area;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;7319.0;;;;;;;;;;;Decreased;Other, please specify: Las emisiones del año 2019 se ven disminuidas debido al factor de emisión de electricidad.;4230.0;2239191.0;2010.0;;;;;;;2021-04-10T02:18:55.717
Ayuntamiento Victoria;839648;Mexico;;;2020;;;;;;;;Latin America;;public;Not intending to undertake;;;City / Municipality;;;;;;;;;;;;;;;;;;;1047.0;19820.0;2010.0;;;;;;;2021-04-10T02:18:55.717
Prefeitura de Quissamã;60337;Brazil;;;2020;;;;;;;;Latin America;;public;Not intending to undertake;;;City / Municipality;;;;;;;;;;;;;;;;;;;719.2;20242.0;2010.0;;;;;;;2021-04-10T02:18:55.717
Prefeitura Municipal de Canoas;55372;Brazil;Canoas;;2020;2019-01-01 - 2019-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-51.1862 -29.9133);;2019-01-01;Latin America;;public;In progress;2019-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20, PFCs, SF6;;;;;;;;;;;;;;;;131.1;341343.0;2015.0;;;;;;;2021-04-10T02:18:55.717
General Lagos;848484;Argentina;;;2020;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Se emplea  herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas. Excel.;;;;2018-01-01;Latin America;;public;Yes;2018-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;18856.69;;3093.82;;662.05;;;;;;;This is our first year of calculation;Other, please specify: Aún  no se cuenta con una sucesión de inventarios que permitan comparar y observar tendencias. Se espera poder realizar en el corto plazo una actualización del inventario de emisiones a escala comunitaria con año base 2018.;38.0;4865.0;2018.0;;;;;;;2021-04-10T02:18:55.717
City of Fayetteville, AR;53959;United States of America;Fayetteville;;2020;2019-01-01 - 2019-12-31;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);;;POINT (-94.1719 36.0821);;2019-01-01;North America;;public;Yes;2019-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;529606.0;865107.0;0.0;;;;Decreased;Technological change;143.0;91400.0;2019.0;;;;;;;2021-04-10T02:18:55.717
Prefeitura de Extrema;60273;Brazil;Extrema;;2020;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Para o primeiro inventário de emissões de gases de efeito estufa de Extrema/MG foi utilizado o formato BASIC da metodologia proposta pelo GPC, comumente utilizado para realização dos inventários da maioria das cidades brasileiras, que considera as emissões provenientes de energia estacionária, transportes e resíduos, Para os próximos anos, avalia-se a possibilidade de reporte do setor de AFOLU - Agricultura, Florestas e Outros Usos da Terra, uma vez que Extrema tem obtido resultados expressivos na recuperação florestal de áreas degradadas dentro dos seus limites geográficos.;;POINT (-46.328 -22.8403);;2014-01-01;Latin America;;public;Yes;2014-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;;;;;;;This is our first year of calculation;;243.09900000000002;36225.0;2019.0;;;;;;;2021-04-10T02:18:55.717
Aipromades Lago de Chapala;826209;Mexico;Chapala;;2020;2018-01-01 - 2018-12-31;2006 IPCC Guidelines for National Greenhouse Gas Inventories;;;POINT (-103.191 20.2962);;2018-01-01;Latin America;;public;Yes;2018-12-31;364 days;Other, please specify: Asociación intermunicipal (16 municipios);Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;;;;;;;;;5521.0;601263.0;2015.0;;;;;;;2021-04-10T02:18:55.717
Municipalidad Provincial de Callao;60409;Peru;;;2020;2020-07-01 - 2021-07-01;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2020-07-01;Latin America;;public;In progress;2021-07-01;365 days;Province / County;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20;;;;;;;;;;;;;;;;146.0;994494.0;217.0;;;;;;;2021-04-10T02:18:55.717
City of Victoria;50571;Canada;Victoria;;2020;2019-01-01 - 2019-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-123.366 48.4284);;2019-01-01;North America;;public;Yes;2019-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;Yes;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;263675.0;;8067.0;;174966.0;;;;;;;Decreased;Change in data collection methods;19.47;94000.0;2019.0;;;;;;;2021-04-10T02:18:55.717
City of Hamilton;50555;Canada;Hamilton;;2020;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Waste information directly from Public Works and reports to Ministry of Environment re: energy capture of methane control at landfill Transportation and Agriculture data from Statistics Canada Census Industrial (Steel Sector) GHG emissions data reported directly to Canada's National Pollutants Release Inventory (NPRI)  Commercial, Residential, Industrial (not Steel) from local electricity and natural gas utilities.;;POINT (-79.8661 43.25);;2018-01-01;North America;;public;Yes;2018-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;11701626.0;;138121.0;;;;;;;;;Increased;Other, please specify: Change in emission factors and usage;1117.23;572575.0;2018.0;;;;;;;2021-04-10T02:18:55.717
Guatemala City;51079;Guatemala;Guatemala City;;2020;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);For the inventory of Greenhouse Gas Emissions of Guatemala City, all activities carried out within the limits of the municipality only (scope 1 and 2) were considered, agglomerated and characterized within the following sectors: Stationary energy, transport and waste.For each sector the emissions of Carbon Dioxide (CO2), Methane (CH4) and Nitrous Oxide (N2O) were determined, obtaining as a result an emissions report for the basic city, this being the first inventory of Guatemala City.;;POINT (-90.5069 14.6349);;2018-01-01;Latin America;;public;Yes;2018-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;;;;;;;;;;;;This is our first year of calculation;;229.0;902522.0;2020.0;;;;;;;2021-04-10T02:18:55.717
Municipio de Iztapa;839668;Guatemala;;;2020;2017-01-01 - 2018-01-01;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);por ser el indicado para nuestro caso  como ciudad o municipio;;;;2017-01-01;Latin America;;public;Yes;2018-01-01;365 days;City / Municipality;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;54244.0;8490.0;1190.0;63925.0;6344947.0;;Do not know;Other, please specify;65.16;11917.0;2019.0;;;;;;;2021-04-10T02:18:55.717
City of Dar es Salaam;35893;United Republic of Tanzania;Dar es Salaam;;2020;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);The methodology covers all the intended measure for in boundary source (Scope 1), grid-supplier energy source (Scope 2) and the out of boundary source (Scope 3). All sectors covers by the protocol including stationary energy, transport, waste, industrial and agriculture. But intended to change the  inventories report to the format of the new Common Reporting Framework (CRF), so that we will have the common standard reporting of emissions data;;POINT (39.2083 -6.79235);;2016-01-01;Africa;;public;In progress;2016-12-31;365 days;City / Municipality;Larger – covers the whole city and adjoining areas;;CH4, CO2, N20;;;;;;;;;;;;;;;;10989.0;6041000.0;2019.0;;;;;;;2021-04-10T02:18:55.717
Concejo Municipal de Distrito de Monte Verde;831999;Costa Rica;;;2020;2016-01-01 - 2016-12-31;Regional or country specific methodology;La metodología utilizada para la medición, reporte y verificación de las emisiones, reducciones , remociones y compensaciones de GEI a nivel cantonal para Costa Rica fue elaborado por la Dirección de Cambio Climático del Ministerio de Ambiente y Energía de Costa Rica.;;;;2016-01-01;Latin America;;public;Yes;2016-12-31;365 days;Sub-municipal district;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;14600.62;;;;1418.96;;;;;;;This is our first year of calculation;Other, please specify: Aún no se presentan cambios;53.14;5253.0;2016.0;;;;;;;2021-04-10T02:18:55.717
Município de Barreiro;50679;Portugal;Barreiro;;2020;2019-01-01 - 2019-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-9.07907 38.6608);;2019-01-01;Europe;;public;In progress;2019-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;;CO2;;;;;;;;;;;;;;;;33.81;78764.0;2011.0;;;;;;;2021-04-10T02:18:55.717
Municipality of La Marsa;831230;Tunisia;La Marsa;;2020;-;;;;POINT (10.3218 36.8725);;;Africa;;public;In progress;;;City / Municipality;;;;;;;;;;;;;;;;;;;31.0;98500.0;2019.0;;;;;;;2021-04-10T02:18:55.717
Bangalore;35907;India;Bangalore;;2020;;;;;POINT (77.5946 12.9716);;;South and West Asia;;public;Intending to undertake in the next 2 years;;;City / Municipality;;;;;;;;;;;;;;;;;;;;13000000.0;2019.0;;;;;;;2021-04-10T02:18:55.717
Esquías;848129;Honduras;;;2020;;;;;;;;Latin America;;public;;;;City / Municipality;;;;;;;;;;;;;;;;;;;391.0;18308.0;2018.0;;;;;;;2021-04-10T02:18:55.717
Tuguegarao City;73765;Philippines;;;2020;2017-01-01 - 2018-01-01;City specific methodology;Conduct of Primary Survey by the city;;;;2017-01-01;Southeast Asia and Oceania;;public;Yes;2018-01-01;365 days;City / Municipality;Same – covers entire city and nothing else;;CH4, CO2;;;;;;;;;;;;;;;;113.95;165700.0;2019.0;;;;;;;2021-04-10T02:18:55.717
BCP Council;54521;United Kingdom of Great Britain and Northern Ireland;Bournemouth;;2020;2016-04-01 - 2017-03-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Consistent with previous reports;;POINT (-1.88076 50.7192);;2016-04-01;Europe;;public;Yes;2017-03-31;364 days;City / Municipality;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;0.0;1027342.0;0.0;530004.0;0.0;385984.0;;;;;;;This is our first year of calculation;;161.3;395300.0;2020.0;;;;;;;2021-04-10T02:18:55.717
City of Columbus;43910;United States of America;Columbus;;2020;2019-01-01 - 2019-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Basic Reporting.;;POINT (-82.9988 39.9612);;2019-01-01;North America;;public;Yes;2019-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;5131800.29;;4703780.23;;1382078.3;;;;;;;Decreased;Increased energy/electricity consumption;606.057;922223.0;2020.0;;;;;;;2021-04-10T02:18:55.717
Iskandar Regional Development Authority;54388;Malaysia;Iskandar;;2020;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Iskandar Malaysia was the first in Malaysia to adopt the GPC for Community-Scale Greenhouse Gas Emission Inventories (GPC).  We have used the GPC to determine the GHG emissions  from 2015-2017 and will continue to  use GPC.;;POINT (100.992 1.45556);;2017-01-01;Southeast Asia and Oceania;;public;Yes;2017-12-31;364 days;Other, please specify: Region;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;10833169.0;9023926.0;;7176564.0;;50996.0;;;;;;;Increased;Other, please specify: Increased GDP;2217.0;2090000.0;2017.0;;;;;;;2021-04-10T02:18:55.717
Munícipio de Mirandela;826407;Portugal;Mirandela;;2020;;;;;POINT (-7.1753 41.51);;;Europe;;public;;;;City / Municipality;;;;;;;;;;;;;;;;;;;659.0;11852.0;2011.0;;;;;;;2021-04-10T02:18:55.717
Tokyo Metropolitan Government;31111;Japan;Tokyo;;2020;2017-04-01 - 2018-03-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);We also have another inventory of city-wide GHG emissions using our country specific methodology.;;POINT (139.41 35.41);;2017-04-01;East Asia;;public;Yes;2018-03-31;364 days;City / Municipality;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;25161979.0;36880892.0;13939360.0;57176147.0;75981830.0;;Decreased;Other, please specify: Reduction of energy and electricity use. Improvement of energy CO2 emission factor.;2193.96;13951636.0;2020.0;;;;;;;2021-04-10T02:18:55.717
City of Leicester;54529;United Kingdom of Great Britain and Northern Ireland;Leicester;;2020;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-1.1333 52.6333);;2017-01-01;Europe;;public;Yes;2017-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;1019212.92;468460.17;356716.22;1486785.92;1674770.08;;Decreased;Technological change;73.35;353540.0;2017.0;;;;;;;2021-04-10T02:18:55.717
Municipalidad de Talca;60408;Chile;;;2020;;;;;;;;Latin America;;public;Intending to undertake in the next 2 years;;;City / Municipality;;;;;;;;;;;;;;;;;;;232.0;220357.0;2017.0;;;;;;;2021-04-10T02:18:55.717
Ville de Montreal;35894;Canada;Montréal;;2020;2015-01-01 - 2015-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-73.554 45.5087);;2015-01-01;North America;;public;Yes;2015-12-31;364 days;Metropolitan area;Larger – covers the whole city and adjoining areas;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;10793696.0;43927.0;296487.0;10223546.0;11134110.0;;Stayed the same;Emissions have not changed;500.0;2029379.0;2018.0;;;;;;;2021-04-10T02:18:55.717
